"Table S5. List of species (""All sequences"" datasets) for each gene with indication of the presence of barcoding gap or overlapping barcode clusters."														
12s				16s				COI				CytB		
 Pseudacris	triseriata        	Overlapping barcode		 Phasmahyla	lisbella          	Barcoding gap								
 Pseudis	bolbodactyla         	Barcoding gap		 Phyllodytes	luteolus         	Barcoding gap								
 Pseudis	cardosoi             	Overlapping barcode		 Phyllodytes	praeceptor       	Barcoding gap								
 Pseudis	fusca                	Barcoding gap		 Phytotriades	auratus         	Barcoding gap								
 Pseudis	minuta               	Overlapping barcode		 Pseudacris	brachyphona       	Overlapping barcode								
 Pseudis	paradoxa             	Barcoding gap		 Pseudacris	brimleyi          	Overlapping barcode								
 Pseudis	tocantins            	Barcoding gap		 Pseudacris	cadaverina        	Barcoding gap								
 Ptychohyla	dendrophasma      	Barcoding gap		 Pseudacris	clarkii           	Overlapping barcode								
 Ptychohyla	euthysanota       	Overlapping barcode		 Pseudacris	crucifer          	Barcoding gap								
 Ptychohyla	hypomykter        	Overlapping barcode		 Pseudacris	feriarum          	Overlapping barcode								
 Ptychohyla	leonhardschultzei 	Barcoding gap		 Pseudacris	illinoensis       	Overlapping barcode								
 Ptychohyla	macrotympanum     	Barcoding gap		 Pseudacris	kalmi             	Overlapping barcode								
 Ptychohyla	salvadorensis     	Barcoding gap		 Pseudacris	maculata          	Overlapping barcode								
 Ptychohyla	zophodes          	Barcoding gap		 Pseudacris	nigrita           	Overlapping barcode								
 Quilticohyla	sanctaecrucis   	Barcoding gap		 Pseudacris	ocularis          	Barcoding gap								
 Rheohyla	miotympanum         	Barcoding gap		 Pseudacris	ornata            	Barcoding gap								
 Sarcohyla	cyclada            	Barcoding gap		 Pseudacris	regilla           	Overlapping barcode								
 Sarcohyla	pentheter          	Barcoding gap		 Pseudacris	streckeri         	Overlapping barcode								
 Scarthyla	goinorum           	Barcoding gap		 Pseudacris	triseriata        	Overlapping barcode								
 Scinax	elaeochroa            	Barcoding gap		 Pseudis	bolbodactyla         	Barcoding gap								
 Scinax	eurydice              	Barcoding gap		 Pseudis	cardosoi             	Overlapping barcode								
 Scinax	funereus              	Barcoding gap		 Pseudis	fusca                	Barcoding gap								
 Scinax	fuscovarius           	Barcoding gap		 Pseudis	minuta               	Overlapping barcode								
 Scinax	garbei                	Barcoding gap		 Pseudis	paradoxa             	Overlapping barcode								
 Scinax	hayii                 	Barcoding gap		 Pseudis	tocantins            	Barcoding gap								
 Scinax	quinquefasciatus      	Barcoding gap		 Ptychohyla	euthysanota       	Overlapping barcode								
 Scinax	ruber                 	Barcoding gap		 Ptychohyla	hypomykter        	Overlapping barcode								
 Scinax	tsachila              	Barcoding gap		 Ptychohyla	leonhardschultzei 	Barcoding gap								
 Scinax	tymbamirim            	Barcoding gap		 Ptychohyla	macrotympanum     	Overlapping barcode								
 Smilisca	baudinii            	Barcoding gap		 Ptychohyla	salvadorensis     	Barcoding gap								
 Smilisca	cyanosticta         	Barcoding gap		 Quilticohyla	sanctaecrucis   	Barcoding gap								
 Smilisca	fodiens             	Barcoding gap		 Sarcohyla	pentheter          	Barcoding gap								
 Smilisca	phaeota             	Overlapping barcode		 Scinax	acuminatus            	Barcoding gap								
 Smilisca	puma                	Barcoding gap		 Scinax	chiquitanus           	Barcoding gap								
 Sphaenorhynchus	botocudo     	Barcoding gap		 Scinax	crospedospilus        	Barcoding gap								
 Sphaenorhynchus	cammaeus     	Barcoding gap		 Scinax	cruentomma            	Overlapping barcode								
 Sphaenorhynchus	caramaschii  	Barcoding gap		 Scinax	curicica              	Barcoding gap								
 Sphaenorhynchus	carneus      	Barcoding gap		 Scinax	eurydice              	Barcoding gap								
 Sphaenorhynchus	dorisae      	Barcoding gap		 Scinax	funereus              	Barcoding gap								
 Sphaenorhynchus	lacteus      	Barcoding gap		 Scinax	fuscomarginatus       	Overlapping barcode								
 Sphaenorhynchus	pauloalvini  	Barcoding gap		 Scinax	fuscovarius           	Overlapping barcode								
 Sphaenorhynchus	platycephalus	Barcoding gap		 Scinax	garbei                	Overlapping barcode								
 Sphaenorhynchus	prasinus     	Barcoding gap		 Scinax	iquitorum             	Barcoding gap								
 Sphaenorhynchus	surdus       	Barcoding gap		 Scinax	madeirae              	Overlapping barcode								
 Tepuihyla	edelcae            	Overlapping barcode		 Scinax	nasicus               	Overlapping barcode								
 Tepuihyla	exophthalma        	Barcoding gap		 Scinax	nebulosus             	Overlapping barcode								
 Tepuihyla	rodriguezi         	Overlapping barcode		 Scinax	perereca              	Barcoding gap								
 Tepuihyla	tuberculosa        	Barcoding gap		 Scinax	proboscideus          	Barcoding gap								
 Tepuihyla	warreni            	Barcoding gap		 Scinax	rostratus             	Barcoding gap								
 Tlalocohyla	picta            	Barcoding gap		 Scinax	ruber                 	Overlapping barcode								
 Tlalocohyla	smithii          	Barcoding gap		 Scinax	squalirostris         	Overlapping barcode								
 Trachycephalus	coriaceus     	Barcoding gap		 Scinax	wandae                	Overlapping barcode								
 Trachycephalus	cunauaru      	Overlapping barcode		 Smilisca	baudinii            	Barcoding gap								
 Trachycephalus	jordani       	Barcoding gap		 Smilisca	cyanosticta         	Barcoding gap								
 Trachycephalus	macrotis      	Overlapping barcode		 Smilisca	fodiens             	Barcoding gap								
 Trachycephalus	mesophaeus    	Barcoding gap		 Smilisca	phaeota             	Overlapping barcode								
 Trachycephalus	quadrangulum  	Overlapping barcode		 Smilisca	sila                	Barcoding gap								
 Trachycephalus	resinifictrix 	Overlapping barcode		 Sphaenorhynchus	botocudo     	Barcoding gap								
 Trachycephalus	typhonius     	Overlapping barcode		 Sphaenorhynchus	cammaeus     	Barcoding gap								
 Triprion	petasatus           	Barcoding gap		 Sphaenorhynchus	canga        	Barcoding gap								
 Triprion	spatulatus          	Barcoding gap		 Sphaenorhynchus	caramaschii  	Barcoding gap								
 Triprion	spinosus	Barcoding gap		 Sphaenorhynchus	carneus      	Barcoding gap								
				 Sphaenorhynchus	dorisae      	Barcoding gap								
				 Sphaenorhynchus	lacteus      	Barcoding gap								
				 Sphaenorhynchus	pauloalvini  	Barcoding gap								
				 Sphaenorhynchus	platycephalus	Barcoding gap								
				 Sphaenorhynchus	prasinus     	Barcoding gap								
				 Sphaenorhynchus	surdus       	Barcoding gap								
				 Tepuihyla	edelcae            	Overlapping barcode								
				 Tepuihyla	exophthalma        	Barcoding gap								
				 Tepuihyla	obscura            	Overlapping barcode								
				 Tepuihyla	rodriguezi         	Overlapping barcode								
				 Tepuihyla	warreni            	Barcoding gap								
				 Tlalocohyla	picta            	Barcoding gap								
				 Trachycephalus	jordani       	Barcoding gap								
				 Trachycephalus	resinifictrix 	Overlapping barcode								
				 Trachycephalus	typhonius     	Overlapping barcode								
				 Triprion	petasatus           	Barcoding gap								
				 Triprion	spinosus	Barcoding gap								
